年份,月份,行政區,遷入人數,遷出人數,住址變更人數_入數量,住址變更人數_出數量,出生人數,死亡人數
112,9,  大安區 ,1971,1942,773,773,141,178
112,9,  中山區 ,1460,1384,643,643,119,121
112,9,  中正區 ,1173,1345,526,526,76,82
112,9,  大同區 ,739,726,451,451,70,91
112,9,  萬華區 ,956,910,525,525,107,103
112,9,  文山區 ,1131,1233,953,953,119,136
112,9,  南港區 ,696,691,258,258,49,59
112,9,  內湖區 ,1364,1355,984,984,167,116
112,9,  士林區 ,1154,1183,750,750,149,166
112,9,  北投區 ,1071,1140,1100,1100,113,137
112,10,  總計 ,11183,8874,5042,5042,1645,1547
112,10,  松山區 ,1040,706,404,404,120,113
112,10,  信義區 ,876,643,287,287,146,150
112,10,  大安區 ,1659,1151,472,472,165,170
112,10,  中山區 ,1093,874,385,385,147,130
112,10,  中正區 ,865,805,266,266,96,86
112,10,  大同區 ,551,513,279,279,98,91
112,10,  萬華區 ,746,600,364,364,115,134
112,10,  文山區 ,1011,745,573,573,153,170
112,10,  南港區 ,455,413,161,161,74,60
112,10,  內湖區 ,1012,859,558,558,197,136
112,10,  士林區 ,976,764,578,578,161,171
112,10,  北投區 ,899,801,715,715,173,136
112,11,  總計 ,10129,8713,4935,4935,1396,1576
112,11,  松山區 ,932,668,340,340,88,124
112,11,  信義區 ,783,706,360,360,135,128
112,11,  大安區 ,1538,1106,445,445,138,180
112,11,  中山區 ,977,873,437,437,117,148
112,11,  中正區 ,861,665,228,228,65,89
112,11,  大同區 ,531,484,217,217,73,101
112,11,  萬華區 ,572,678,383,383,108,148
112,11,  文山區 ,953,763,677,677,151,174
112,11,  南港區 ,408,420,186,186,60,79
112,11,  內湖區 ,952,877,582,582,175,115
112,11,  士林區 ,865,806,492,492,155,162
112,11,  北投區 ,757,667,588,588,131,128
112,12,  總計 ,9736,7688,4694,4694,1511,1567
112,12,  松山區 ,951,596,380,380,96,127
112,12,  信義區 ,823,670,322,322,108,126
112,12,  大安區 ,1447,949,483,483,146,192
112,12,  中山區 ,954,762,441,441,136,143
112,12,  中正區 ,765,590,246,246,87,82
112,12,  大同區 ,477,396,213,213,88,81
112,12,  萬華區 ,571,577,371,371,113,152
112,12,  文山區 ,819,658,515,515,157,153
112,12,  南港區 ,425,435,128,128,89,70
112,12,  內湖區 ,885,748,631,631,199,138
112,12,  士林區 ,839,735,455,455,142,156
112,12,  北投區 ,780,572,509,509,150,147
113,1,  總計 ,10898,11058,5316,5316,1449,1884
113,1,  松山區 ,914,817,410,410,101,144
113,1,  信義區 ,888,968,341,341,144,157
113,1,  大安區 ,1446,1411,549,549,144,224
113,1,  中山區 ,1071,1045,456,456,152,165
113,1,  中正區 ,921,883,282,282,84,123
113,1,  大同區 ,605,576,264,264,88,90
113,1,  萬華區 ,708,855,423,423,108,182
113,1,  文山區 ,1031,1015,620,620,155,186
113,1,  南港區 ,457,524,215,215,76,75
113,1,  內湖區 ,1019,1037,622,622,159,148
113,1,  士林區 ,964,980,569,569,131,225
113,1,  北投區 ,874,947,565,565,107,165
113,2,  總計 ,9494,9846,4495,4495,1223,1685
113,2,  松山區 ,880,764,383,383,69,116
113,2,  信義區 ,739,859,289,289,93,135
113,2,  大安區 ,1238,1153,409,409,130,181
113,2,  中山區 ,952,1004,332,332,98,159
113,2,  中正區 ,779,752,235,235,72,91
113,2,  大同區 ,536,533,204,204,71,112
113,2,  萬華區 ,632,745,343,343,109,171
113,2,  文山區 ,880,931,546,546,120,139
113,2,  南港區 ,457,466,150,150,60,69
113,2,  內湖區 ,846,894,507,507,151,145
113,2,  士林區 ,795,890,545,545,135,201
113,2,  北投區 ,760,855,552,552,115,166
113,3,  總計 ,10794,11085,5052,5052,1346,1792
113,3,  松山區 ,954,812,406,406,89,128
113,3,  信義區 ,762,958,301,301,109,133
113,3,  大安區 ,1439,1266,446,446,131,174
113,3,  中山區 ,999,1152,397,397,115,163
113,3,  中正區 ,890,833,293,293,70,110
113,3,  大同區 ,596,536,259,259,77,94
113,3,  萬華區 ,763,866,355,355,111,193
113,3,  文山區 ,986,1006,628,628,128,170
113,3,  南港區 ,514,606,199,199,72,79
113,3,  內湖區 ,979,1112,613,613,159,147
113,3,  士林區 ,995,1042,512,512,144,215
113,3,  北投區 ,917,896,643,643,141,186
